3352-87-2	Developmental Toxicity-fetal death mouse
69-65-8	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
87-69-4	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
87-79-6	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
87-81-0	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
608-66-2	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
6706-59-8	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
149-32-6	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
87-99-0	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
29849-82-9	Genetic Toxicity -SCE in vitro; Reproductive Toxicity -repro rat male; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent femalePositive; Reproductive Toxicity -repro rodent male; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -SCE in vitro other cells
488-82-4	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
488-41-5	Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -SCE in vitro other cells
526-99-8	Genetic Toxicity -drosophila HT; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
9004-61-9	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -liver acute; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity-carc rat female; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -micronucleus mouse; Human Adverse Urinary Effects -kidney function; Genetic Toxicity -SCE in vitro other cells; Human Adverse Urinary Effects -kidney; Genetic Toxicity -In vitro chrom. ab. CHO
126-11-4	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
77-49-6	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
616-38-6	Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli w; Developmental Toxicity-visceral rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Genetic Toxicity -In vitro chrom. ab. CHO
1188-38-1	Reproductive Toxicity -repro rat male; Developmental Toxicity-structural rodent; Developmental Toxicity-post impl. loss mouse; Genetic Toxicity -drosophila HT; Developmental Toxicity-retardation rat; Developmental Toxicity-retardation rabbit; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity -sperm ratPositive; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
2892-51-5	Reproductive Toxicity- sperm mouse; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-visceral rat; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -yeast
15879-93-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity- sperm mouse; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -sperm rat; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity-carc mouse female; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-structural rabbit; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Developmental Toxicity-post impl. loss rodent; Genetic Toxicity -In vitro chrom. ab. CHO; Developmental Toxicity-fetal death rodent; Genetic Toxicity -yeast
21462-39-5	Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -nephropathyPositive; Human Adverse Urinary Effects -kidney function
24729-96-2	Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -nephropathyPositive; Human Adverse Urinary Effects -kidney function
679809-58-6	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -liver acute; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity-carc rat female; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney; Genetic Toxicity -In vitro chrom. ab. CHO
81167-16-0	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -In vitro chrom. ab. CHO
554-57-4	Genetic Toxicity -drosophila HT; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. HL cells; Human Adverse Urinary Effects -urolithiasis; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Reproductive Toxicity-carc mouse female; Reproductive Toxicity -repro rodent male; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity-carc rodent; Developmental Toxicity-fetal death rodent
102-76-1	Genetic Toxicity -SCE in vitro; Reproductive Toxicity -sperm rodentPositive; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Developmental Toxicity-retardation rabbit; Genetic Toxicity -E. coli; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. CHO
452-35-7	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity-carc rat female; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-post impl. loss rodent; Reproductive Toxicity-carc rat male
600-05-5	Reproductive Toxicity -repro rat male; Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Developmental Toxicity-retardation rat; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells
116-26-7	Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Genetic Toxicity -salmonella; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Developmental Toxicity-visceral mouse; Genetic Toxicity -E. coli; Reproductive Toxicity -repro rodent female; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
804-36-4	Genetic Toxicity -SCE in vitro; Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Reproductive Toxicity-carc mouse male; Genetic Toxicity -E. coli; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity-carc rat female; Reproductive Toxicity-carc mouse female; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity-carc rat; Genetic Toxicity -UDS; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-structural mouse; Reproductive Toxicity -sperm ratPositive; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-post impl. loss rodent; Genetic Toxicity -yeast
7456-24-8	Reproductive Toxicity-cell transformation; Genetic Toxicity -drosophila HT; Developmental Toxicity-visceral mouse; Genetic Toxicity -E. coli; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro other cells
79-14-1	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Genetic Toxicity -drosophila HT; Genetic Toxicity -E. coli; Reproductive Toxicity-SHE; Reproductive Toxicity- C3H10T1-2
72-63-9	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Developmental Toxicity-retardation rabbit; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Developmental Toxicity-fetal death mouse; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity-carc rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-structural rabbit; Genetic Toxicity -chrom. ab.; Developmental Toxicity-post impl. loss rodent; Reproductive Toxicity -repro rat female
87-89-8	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -In vitro chrom. ab. CHO
94-96-2	Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
107-41-5	Reproductive Toxicity-cell transformation; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
107-88-0	Reproductive Toxicity-cell transformation; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
144-19-4	Reproductive Toxicity-cell transformation; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
