CASRNUID	CASRN	TestSubstance_ChemName	Molecular_Formular	IUPAC_Name	InChI	InChIKey	SMILES
87	101-02-0	Triphenyl phosphite	C18H15O3P	triphenyl phosphite	InChI=1S/C18H15O3P/c1-4-10-16(11-5-1)19-22(20-17-12-6-2-7-13-17)21-18-14-8-3-9-15-18/h1-15H	HVLLSGMXQDNUAL-UHFFFAOYSA-N	O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1
88	101-05-3	Anilazine	C9H5Cl3N4	4,6-dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine	InChI=1S/C9H5Cl3N4/c10-5-3-1-2-4-6(5)13-9-15-7(11)14-8(12)16-9/h1-4H,(H,13,14,15,16)	IMHBYKMAHXWHRP-UHFFFAOYSA-N	ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1
89	101-10-0	Cloprop	C9H9ClO3	2-(3-chlorophenoxy)propanoic acid	InChI=1S/C9H9ClO3/c1-6(9(11)12)13-8-4-2-3-7(10)5-8/h2-6H,1H3,(H,11,12)	YNTJKQDWYXUTLZ-UHFFFAOYSA-N	CC(OC1=CC(Cl)=CC=C1)C(O)=O
90	101-11-1	Benzenesulfonic acid, 3-[(ethylphenylamino)methyl]-	C15H17NO3S	3-[(N-ethylanilino)methyl]benzenesulfonic acid	InChI=1S/C15H17NO3S/c1-2-16(14-8-4-3-5-9-14)12-13-7-6-10-15(11-13)20(17,18)19/h3-11H,2,12H2,1H3,(H,17,18,19)	BQGRVFPPZJPWPB-UHFFFAOYSA-N	CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=CC=C1
91	101-14-4	4,4'-Methylenebis(2-chloroaniline)	C13H12Cl2N2	4-[(4-amino-3-chlorophenyl)methyl]-2-chloroaniline	InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2	IBOFVQJTBBUKMU-UHFFFAOYSA-N	NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1
92	101-18-8	3-Hydroxy-N-phenylaniline	C12H11NO	3-anilinophenol	InChI=1S/C12H11NO/c14-12-8-4-7-11(9-12)13-10-5-2-1-3-6-10/h1-9,13-14H	NDACNGSDAFKTGE-UHFFFAOYSA-N	OC1=CC=CC(NC2=CC=CC=C2)=C1
93	101-20-2	Triclocarban	C13H9Cl3N2O	1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea	InChI=1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H,(H2,17,18,19)	ICUTUKXCWQYESQ-UHFFFAOYSA-N	ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1
94	101-21-3	Chlorpropham	C10H12ClNO2	propan-2-yl N-(3-chlorophenyl)carbamate	InChI=1S/C10H12ClNO2/c1-7(2)14-10(13)12-9-5-3-4-8(11)6-9/h3-7H,1-2H3,(H,12,13)	CWJSHJJYOPWUGX-UHFFFAOYSA-N	CC(C)OC(=O)NC1=CC=CC(Cl)=C1
95	101-26-8	Pyridostigmine bromide	C9H13BrN2O2	(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate;bromide	InChI=1S/C9H13N2O2.BrH/c1-10(2)9(12)13-8-5-4-6-11(3)7-8;/h4-7H,1-3H3;1H/q+1;/p-1	VNYBTNPBYXSMOO-UHFFFAOYSA-M	[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1
96	101-27-9	Barban	C11H9Cl2NO2	4-chlorobut-2-ynyl N-(3-chlorophenyl)carbamate	InChI=1S/C11H9Cl2NO2/c12-6-1-2-7-16-11(15)14-10-5-3-4-9(13)8-10/h3-5,8H,6-7H2,(H,14,15)	MCOQHIWZJUDQIC-UHFFFAOYSA-N	ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1
97	101-37-1	2,4,6-Tris(allyloxy)-1,3,5-triazine	C12H15N3O3	2,4,6-tris(prop-2-enoxy)-1,3,5-triazine	InChI=1S/C12H15N3O3/c1-4-7-16-10-13-11(17-8-5-2)15-12(14-10)18-9-6-3/h4-6H,1-3,7-9H2	BJELTSYBAHKXRW-UHFFFAOYSA-N	C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1
98	101-39-3	alpha-Methyl cinnamaldehyde	C10H10O	2-methyl-3-phenylprop-2-enal	InChI=1S/C10H10O/c1-9(8-11)7-10-5-3-2-4-6-10/h2-8H,1H3	VLUMOWNVWOXZAU-UHFFFAOYSA-N	CC(=CC1=CC=CC=C1)C=O
99	101-40-6	Propylhexedrine	C10H21N	1-cyclohexyl-N-methylpropan-2-amine	InChI=1S/C10H21N/c1-9(11-2)8-10-6-4-3-5-7-10/h9-11H,3-8H2,1-2H3	JCRIVQIOJSSCQD-UHFFFAOYSA-N	CNC(C)CC1CCCCC1
100	101-41-7	Methyl phenylacetate	C9H10O2	methyl 2-phenylacetate	InChI=1S/C9H10O2/c1-11-9(10)7-8-5-3-2-4-6-8/h2-6H,7H2,1H3	CRZQGDNQQAALAY-UHFFFAOYSA-N	COC(=O)CC1=CC=CC=C1
101	101-42-8	Fenuron	C9H12N2O	1,1-dimethyl-3-phenylurea	InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)	XXOYNJXVWVNOOJ-UHFFFAOYSA-N	CN(C)C(=O)NC1=CC=CC=C1
102	101-48-4	(2,2-Dimethoxyethyl)benzene	C10H14O2	2,2-dimethoxyethylbenzene	InChI=1S/C10H14O2/c1-11-10(12-2)8-9-6-4-3-5-7-9/h3-7,10H,8H2,1-2H3	WNJSKZBEWNVKGU-UHFFFAOYSA-N	COC(CC1=CC=CC=C1)OC
103	101-53-1	4-Benzylphenol	C13H12O	4-benzylphenol	InChI=1S/C13H12O/c14-13-8-6-12(7-9-13)10-11-4-2-1-3-5-11/h1-9,14H,10H2	HJSPWKGEPDZNLK-UHFFFAOYSA-N	OC1=CC=C(CC2=CC=CC=C2)C=C1
104	101-54-2	N-Phenyl-1,4-benzenediamine	C12H12N2	4-N-phenylbenzene-1,4-diamine	InChI=1S/C12H12N2/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9,14H,13H2	ATGUVEKSASEFFO-UHFFFAOYSA-N	NC1=CC=C(NC2=CC=CC=C2)C=C1
105	101-55-3	p-Bromodiphenyl ether	C12H9BrO	1-bromo-4-phenoxybenzene	InChI=1S/C12H9BrO/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9H	JDUYPUMQALQRCN-UHFFFAOYSA-N	BrC1=CC=C(OC2=CC=CC=C2)C=C1
106	101-61-1	4,4'-Methylenebis(N,N-dimethylaniline)	C17H22N2	4-[[4-(dimethylamino)phenyl]methyl]-N,N-dimethylaniline	InChI=1S/C17H22N2/c1-18(2)16-9-5-14(6-10-16)13-15-7-11-17(12-8-15)19(3)4/h5-12H,13H2,1-4H3	JNRLEMMIVRBKJE-UHFFFAOYSA-N	CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1
107	101-63-3	1,1'-Oxybis(4-nitrobenzene)	C12H8N2O5	1-nitro-4-(4-nitrophenoxy)benzene	InChI=1S/C12H8N2O5/c15-13(16)9-1-5-11(6-2-9)19-12-7-3-10(4-8-12)14(17)18/h1-8H	MWAGUKZCDDRDCS-UHFFFAOYSA-N	[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1
108	101-67-7	4,4'-Dioctyldiphenylamine	C28H43N	4-octyl-N-(4-octylphenyl)aniline	InChI=1S/C28H43N/c1-3-5-7-9-11-13-15-25-17-21-27(22-18-25)29-28-23-19-26(20-24-28)16-14-12-10-8-6-4-2/h17-24,29H,3-16H2,1-2H3	QAPVYZRWKDXNDK-UHFFFAOYSA-N	CCCCCCCCC1=CC=C(NC2=CC=C(CCCCCCCC)C=C2)C=C1
109	101-68-8	4,4'-Diphenylmethane diisocyanate	C15H10N2O2	1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene	InChI=1S/C15H10N2O2/c18-10-16-14-5-1-12(2-6-14)9-13-3-7-15(8-4-13)17-11-19/h1-8H,9H2	UPMLOUAZCHDJJD-UHFFFAOYSA-N	O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1
110	101-70-2	4,4'-Dimethoxydiphenylamine	C14H15NO2	4-methoxy-N-(4-methoxyphenyl)aniline	InChI=1S/C14H15NO2/c1-16-13-7-3-11(4-8-13)15-12-5-9-14(17-2)10-6-12/h3-10,15H,1-2H3	VCOONNWIINSFBA-UHFFFAOYSA-N	COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1
111	101-71-3	Diphenan	C14H13NO2	(4-benzylphenyl) carbamate	InChI=1S/C14H13NO2/c15-14(16)17-13-8-6-12(7-9-13)10-11-4-2-1-3-5-11/h1-9H,10H2,(H2,15,16)	ZBJBRUSGEJORQL-UHFFFAOYSA-N	NC(=O)OC1=CC=C(CC2=CC=CC=C2)C=C1
112	101-72-4	N-Isopropyl-N'-phenyl-p-phenylenediamine	C15H18N2	1-N-phenyl-4-N-propan-2-ylbenzene-1,4-diamine	InChI=1S/C15H18N2/c1-12(2)16-14-8-10-15(11-9-14)17-13-6-4-3-5-7-13/h3-12,16-17H,1-2H3	OUBMGJOQLXMSNT-UHFFFAOYSA-N	CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1
113	101-77-9	4,4'-Methylenedianiline	C13H14N2	4-[(4-aminophenyl)methyl]aniline	InChI=1S/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2	YBRVSVVVWCFQMG-UHFFFAOYSA-N	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
114	101-79-1	4-Chloro-4'-aminodiphenyl ether	C12H10ClNO	4-(4-chlorophenoxy)aniline	InChI=1S/C12H10ClNO/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,14H2	YTISFYMPVILQRL-UHFFFAOYSA-N	NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1
115	101-80-4	4,4'-Oxydianiline	C12H12N2O	4-(4-aminophenoxy)aniline	InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2	HLBLWEWZXPIGSM-UHFFFAOYSA-N	NC1=CC=C(OC2=CC=C(N)C=C2)C=C1
116	101-81-5	Diphenylmethane	C13H12	benzylbenzene	InChI=1S/C13H12/c1-3-7-12(8-4-1)11-13-9-5-2-6-10-13/h1-10H,11H2	CZZYITDELCSZES-UHFFFAOYSA-N	C(C1=CC=CC=C1)C1=CC=CC=C1
117	101-83-7	Dicyclohexylamine	C12H23N	N-cyclohexylcyclohexanamine	InChI=1S/C12H23N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-13H,1-10H2	XBPCUCUWBYBCDP-UHFFFAOYSA-N	C1CCC(CC1)NC1CCCCC1
118	101-84-8	Diphenyl oxide	C12H10O	phenoxybenzene	InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H	USIUVYZYUHIAEV-UHFFFAOYSA-N	O(C1=CC=CC=C1)C1=CC=CC=C1
119	101-85-9	alpha-Amylcinnamyl alcohol	C14H20O	(2Z)-2-benzylideneheptan-1-ol	InChI=1S/C14H20O/c1-2-3-5-10-14(12-15)11-13-8-6-4-7-9-13/h4,6-9,11,15H,2-3,5,10,12H2,1H3/b14-11-	LIPHCKNQPJXUQF-KAMYIIQDSA-N	CCCCC\C(CO)=C\C1=CC=CC=C1
120	101-86-0	2-Benzylideneoctanal	C15H20O	2-benzylideneoctanal	InChI=1S/C15H20O/c1-2-3-4-6-11-15(13-16)12-14-9-7-5-8-10-14/h5,7-10,12-13H,2-4,6,11H2,1H3	GUUHFMWKWLOQMM-UHFFFAOYSA-N	CCCCCCC(C=O)=CC1=CC=CC=C1
121	101-90-6	Diglycidyl resorcinol ether	C12H14O4	2-[[3-(oxiran-2-ylmethoxy)phenoxy]methyl]oxirane	InChI=1S/C12H14O4/c1-2-9(13-5-11-7-15-11)4-10(3-1)14-6-12-8-16-12/h1-4,11-12H,5-8H2	WPYCRFCQABTEKC-UHFFFAOYSA-N	C(OC1=CC(OCC2CO2)=CC=C1)C1CO1
122	101-93-9	Phenacaine	C18H22N2O2	1-N,1-N'-bis(4-ethoxyphenyl)ethene-1,1-diamine	InChI=1S/C18H22N2O2/c1-4-21-17-10-6-15(7-11-17)19-14(3)20-16-8-12-18(13-9-16)22-5-2/h6-13,19-20H,3-5H2,1-2H3	APAAODWHOIYZEX-UHFFFAOYSA-N	CCOC1=CC=C(NC(=C)NC2=CC=C(OCC)C=C2)C=C1
123	101-96-2	N,N'-Bis(1-methylpropyl)-1,4-benzenediamine	C14H24N2	1-N,4-N-di(butan-2-yl)benzene-1,4-diamine	InChI=1S/C14H24N2/c1-5-11(3)15-13-7-9-14(10-8-13)16-12(4)6-2/h7-12,15-16H,5-6H2,1-4H3	FSWDLYNGJBGFJH-UHFFFAOYSA-N	CCC(C)NC1=CC=C(NC(C)CC)C=C1
124	101-97-3	Ethyl phenylacetate	C10H12O2	ethyl 2-phenylacetate	InChI=1S/C10H12O2/c1-2-12-10(11)8-9-6-4-3-5-7-9/h3-7H,2,8H2,1H3	DULCUDSUACXJJC-UHFFFAOYSA-N	CCOC(=O)CC1=CC=CC=C1
125	101001-34-7	Pamicogrel	C25H24N2O4S	ethyl 2-[2-[4,5-bis(4-methoxyphenyl)-1,3-thiazol-2-yl]pyrrol-1-yl]acetate	InChI=1S/C25H24N2O4S/c1-4-31-22(28)16-27-15-5-6-21(27)25-26-23(17-7-11-19(29-2)12-8-17)24(32-25)18-9-13-20(30-3)14-10-18/h5-15H,4,16H2,1-3H3	ISCHOARKJADAKJ-UHFFFAOYSA-N	CCOC(=O)CN1C=CC=C1C1=NC(=C(S1)C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
126	10101-97-0	Nickel(II) sulfate hexahydrate	H12NiO10S	nickel(2+);sulfate;hexahydrate	InChI=1S/Ni.H2O4S.6H2O/c;1-5(2,3)4;;;;;;/h;(H2,1,2,3,4);6*1H2/q+2;;;;;;;/p-2	RRIWRJBSCGCBID-UHFFFAOYSA-L	O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O
127	10102-18-8	Sodium selenite	Na2O3Se	disodium;selenite	InChI=1S/2Na.H2O3Se/c;;1-4(2)3/h;;(H2,1,2,3)/q2*+1;/p-2	BVTBRVFYZUCAKH-UHFFFAOYSA-L	[Na+].[Na+].[O-][Se]([O-])=O
128	10102-45-1	Thallium nitrate	NO3Tl	thallium(1+);nitrate	InChI=1S/NO3.Tl/c2-1(3)4;/q-1;+1	FYWSTUCDSVYLPV-UHFFFAOYSA-N	[Tl+].[O-][N+]([O-])=O
129	10108-64-2	Cadmium chloride	CdCl2	cadmium(2+);dichloride	InChI=1S/Cd.2ClH/h;2*1H/q+2;;/p-2	YKYOUMDCQGMQQO-UHFFFAOYSA-L	[Cl-].[Cl-].[Cd++]
130	101152-94-7	Milnacipran hydrochloride	C15H23ClN2O	(1R,2S)-2-(aminomethyl)-N,N-diethyl-1-phenylcyclopropane-1-carboxamide;hydrochloride	InChI=1S/C15H22N2O.ClH/c1-3-17(4-2)14(18)15(10-13(15)11-16)12-8-6-5-7-9-12;/h5-9,13H,3-4,10-11,16H2,1-2H3;1H/t13-,15+;/m1./s1	XNCDYJFPRPDERF-PBCQUBLHSA-N	Cl.CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C1=CC=CC=C1
131	10118-90-8	Minocycline	C23H27N3O7	(4S,4aS,5aR,12aR)-4,7-bis(dimethylamino)-1,10,11,12a-tetrahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide	InChI=1S/C23H27N3O7/c1-25(2)12-5-6-13(27)15-10(12)7-9-8-11-17(26(3)4)19(29)16(22(24)32)21(31)23(11,33)20(30)14(9)18(15)28/h5-6,9,11,17,27-28,31,33H,7-8H2,1-4H3,(H2,24,32)/t9-,11-,17-,23-/m0/s1	FFTVPQUHLQBXQZ-KVUCHLLUSA-N	CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O
132	101200-48-0	Tribenuron-methyl	C15H17N5O6S	methyl 2-[[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-methylcarbamoyl]sulfamoyl]benzoate	InChI=1S/C15H17N5O6S/c1-9-16-13(18-14(17-9)26-4)20(2)15(22)19-27(23,24)11-8-6-5-7-10(11)12(21)25-3/h5-8H,1-4H3,(H,19,22)	VLCQZHSMCYCDJL-UHFFFAOYSA-N	COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1
133	10124-37-5	Calcium nitrate	CaN2O6	calcium;dinitrate	InChI=1S/Ca.2NO3/c;2*2-1(3)4/q+2;2*-1	ZCCIPPOKBCJFDN-UHFFFAOYSA-N	[Ca++].[O-][N+]([O-])=O.[O-][N+]([O-])=O
134	101312-92-9	Valnemulin	C31H52N2O5S		InChI=1S/C31H52N2O5S/c1-10-29(8)15-22(38-23(35)16-39-28(6,7)17-33-27(37)24(32)18(2)3)30(9)19(4)11-13-31(20(5)26(29)36)14-12-21(34)25(30)31/h10,18-20,22,24-26,36H,1,11-17,32H2,2-9H3,(H,33,37)/t19-,20+,22-,24-,25+,26+,29-,30+,31+/m1/s1	LLYYNOVSVPBRGV-MVNKZKPCSA-N	CC(C)[C@@H](N)C(=O)NCC(C)(C)SCC(=O)O[C@@H]1C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]23CCC(=O)[C@H]2[C@@]1(C)[C@H](C)CC3
135	1014-70-6	Simetryn	C8H15N5S	2-N,4-N-diethyl-6-methylsulfanyl-1,3,5-triazine-2,4-diamine	InChI=1S/C8H15N5S/c1-4-9-6-11-7(10-5-2)13-8(12-6)14-3/h4-5H2,1-3H3,(H2,9,10,11,12,13)	MGLWZSOBALDPEK-UHFFFAOYSA-N	CCNC1=NC(SC)=NC(NCC)=N1
136	101463-69-8	Flufenoxuron	C21H11ClF6N2O3	N-[[4-[2-chloro-4-(trifluoromethyl)phenoxy]-2-fluorophenyl]carbamoyl]-2,6-difluorobenzamide	InChI=1S/C21H11ClF6N2O3/c22-12-8-10(21(26,27)28)4-7-17(12)33-11-5-6-16(15(25)9-11)29-20(32)30-19(31)18-13(23)2-1-3-14(18)24/h1-9H,(H2,29,30,31,32)	RYLHNOVXKPXDIP-UHFFFAOYSA-N	FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1
137	10147-40-7	Dodecane-1-sulfonyl chloride	C12H25ClO2S	dodecane-1-sulfonyl chloride	InChI=1S/C12H25ClO2S/c1-2-3-4-5-6-7-8-9-10-11-12-16(13,14)15/h2-12H2,1H3	PBULHKIPTBIZHO-UHFFFAOYSA-N	CCCCCCCCCCCCS(Cl)(=O)=O
138	101477-54-7	Lomerizine dihydrochloride	C27H32Cl2F2N2O3	1-[bis(4-fluorophenyl)methyl]-4-[(2,3,4-trimethoxyphenyl)methyl]piperazine;dihydrochloride	InChI=1S/C27H30F2N2O3.2ClH/c1-32-24-13-8-21(26(33-2)27(24)34-3)18-30-14-16-31(17-15-30)25(19-4-9-22(28)10-5-19)20-6-11-23(29)12-7-20;;/h4-13,25H,14-18H2,1-3H3;2*1H	LOGVKVSFYBBUAJ-UHFFFAOYSA-N	Cl.Cl.COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC
139	101526-62-9	Sematilide monohydrochloride	C14H24ClN3O3S	N-[2-(diethylamino)ethyl]-4-(methanesulfonamido)benzamide;hydrochloride	InChI=1S/C14H23N3O3S.ClH/c1-4-17(5-2)11-10-15-14(18)12-6-8-13(9-7-12)16-21(3,19)20;/h6-9,16H,4-5,10-11H2,1-3H3,(H,15,18);1H	OKXAJGDKHKNFAX-UHFFFAOYSA-N	Cl.CCN(CC)CCNC(=O)C1=CC=C(NS(C)(=O)=O)C=C1
140	101530-10-3	Lanoconazole	C14H10ClN3S2	(2Z)-2-[4-(2-chlorophenyl)-1,3-dithiolan-2-ylidene]-2-imidazol-1-ylacetonitrile	InChI=1S/C14H10ClN3S2/c15-11-4-2-1-3-10(11)13-8-19-14(20-13)12(7-16)18-6-5-17-9-18/h1-6,9,13H,8H2/b14-12-	ZRTQSJFIDWNVJW-OWBHPGMISA-N	ClC1=C(C=CC=C1)C1CS\C(S1)=C(/C#N)N1C=CN=C1
141	10161-33-8	17beta-Trenbolone	C18H22O2	(8S,13S,14S,17S)-17-hydroxy-13-methyl-2,6,7,8,14,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-3-one	InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h8-10,15-17,20H,2-7H2,1H3/t15-,16+,17+,18+/m1/s1	MEHHPFQKXOUFFV-OWSLCNJRSA-N	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
142	10161-34-9	Trenbolone acetate	C20H24O3	[(8S,13S,14S,17S)-13-methyl-3-oxo-2,6,7,8,14,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate	InChI=1S/C20H24O3/c1-12(21)23-19-8-7-18-17-5-3-13-11-14(22)4-6-15(13)16(17)9-10-20(18,19)2/h9-11,17-19H,3-8H2,1-2H3/t17-,18+,19+,20+/m1/s1	CMRJPMODSSEAPL-FYQPLNBISA-N	CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C
143	101626-70-4	Talipexole	C10H15N3S	6-prop-2-enyl-4,5,7,8-tetrahydro-[1,3]thiazolo[4,5-d]azepin-2-amine	InChI=1S/C10H15N3S/c1-2-5-13-6-3-8-9(4-7-13)14-10(11)12-8/h2H,1,3-7H2,(H2,11,12)	DHSSDEDRBUKTQY-UHFFFAOYSA-N	NC1=NC2=C(CCN(CC=C)CC2)S1
144	1018-71-9	Pyrrolnitrin	C10H6Cl2N2O2	3-chloro-4-(3-chloro-2-nitrophenyl)-1H-pyrrole	InChI=1S/C10H6Cl2N2O2/c11-8-3-1-2-6(10(8)14(15)16)7-4-13-5-9(7)12/h1-5,13H	QJBZDBLBQWFTPZ-UHFFFAOYSA-N	[O-][N+](=O)C1=C(C=CC=C1Cl)C1=CNC=C1Cl
145	101827-46-7	Butenafine hydrochloride	C23H28ClN	1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine;hydrochloride	InChI=1S/C23H27N.ClH/c1-23(2,3)21-14-12-18(13-15-21)16-24(4)17-20-10-7-9-19-8-5-6-11-22(19)20;/h5-15H,16-17H2,1-4H3;1H	LJBSAUIFGPSHCN-UHFFFAOYSA-N	Cl.CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=C1C=CC=C2
146	101828-21-1	Butenafine	C23H27N	1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine	InChI=1S/C23H27N/c1-23(2,3)21-14-12-18(13-15-21)16-24(4)17-20-10-7-9-19-8-5-6-11-22(19)20/h5-15H,16-17H2,1-4H3	ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=C1C=CC=C2
147	101831-37-2	Diclazuril	C17H9Cl3N4O2	2-(4-chlorophenyl)-2-[2,6-dichloro-4-(3,5-dioxo-1,2,4-triazin-2-yl)phenyl]acetonitrile	InChI=1S/C17H9Cl3N4O2/c18-10-3-1-9(2-4-10)12(7-21)16-13(19)5-11(6-14(16)20)24-17(26)23-15(25)8-22-24/h1-6,8,12H,(H,23,25,26)	ZSZFUDFOPOMEET-UHFFFAOYSA-N	ClC1=CC=C(C=C1)C(C#N)C1=C(Cl)C=C(C=C1Cl)N1N=CC(=O)NC1=O
148	10190-99-5	Aristolochic acid, sodium salt (77% AA I, 21% AA II)	C17H10NNaO7	sodium;8-methoxy-6-nitronaphtho[2,1-g][1,3]benzodioxole-5-carboxylate	InChI=1S/C17H11NO7.Na/c1-23-12-4-2-3-8-9(12)5-11(18(21)22)14-10(17(19)20)6-13-16(15(8)14)25-7-24-13;/h2-6H,7H2,1H3,(H,19,20);/q;+1/p-1	BQVOPWJSBBMGBR-UHFFFAOYSA-M	COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)[O-].[Na+]
149	101973-77-7	Esonarimod	C14H16O4S	2-(acetylsulfanylmethyl)-4-(4-methylphenyl)-4-oxobutanoic acid	InChI=1S/C14H16O4S/c1-9-3-5-11(6-4-9)13(16)7-12(14(17)18)8-19-10(2)15/h3-6,12H,7-8H2,1-2H3,(H,17,18)	YRSSFEUQNAXQMX-UHFFFAOYSA-N	CC(=O)SCC(CC(=O)C1=CC=C(C)C=C1)C(O)=O
150	101975-10-4	Zardaverine	C12H10F2N2O3	3-[4-(difluoromethoxy)-3-methoxyphenyl]-1H-pyridazin-6-one	InChI=1S/C12H10F2N2O3/c1-18-10-6-7(2-4-9(10)19-12(13)14)8-3-5-11(17)16-15-8/h2-6,12H,1H3,(H,16,17)	HJMQDJPMQIHLPB-UHFFFAOYSA-N	COC1=CC(=CC=C1OC(F)F)C1=NNC(=O)C=C1
151	102-01-2	Acetoacetanilide	C10H11NO2	3-oxo-N-phenylbutanamide	InChI=1S/C10H11NO2/c1-8(12)7-10(13)11-9-5-3-2-4-6-9/h2-6H,7H2,1H3,(H,11,13)	DYRDKSSFIWVSNM-UHFFFAOYSA-N	CC(=O)CC(=O)NC1=CC=CC=C1
152	102-05-6	Dibemethine	C15H17N	N-benzyl-N-methyl-1-phenylmethanamine	InChI=1S/C15H17N/c1-16(12-14-8-4-2-5-9-14)13-15-10-6-3-7-11-15/h2-11H,12-13H2,1H3	WYZDCUGWXKHESN-UHFFFAOYSA-N	CN(CC1=CC=CC=C1)CC1=CC=CC=C1
153	102-06-7	1,3-Diphenylguanidine	C13H13N3	1,2-diphenylguanidine	InChI=1S/C13H13N3/c14-13(15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H,(H3,14,15,16)	OWRCNXZUPFZXOS-UHFFFAOYSA-N	N=C(NC1=CC=CC=C1)NC1=CC=CC=C1
154	102-07-8	Diphenylurea	C13H12N2O	1,3-diphenylurea	InChI=1S/C13H12N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H,(H2,14,15,16)	GWEHVDNNLFDJLR-UHFFFAOYSA-N	O=C(NC1=CC=CC=C1)NC1=CC=CC=C1
155	102-08-9	Thiocarbanilide	C13H12N2S	1,3-diphenylthiourea	InChI=1S/C13H12N2S/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H,(H2,14,15,16)	FCSHMCFRCYZTRQ-UHFFFAOYSA-N	S=C(NC1=CC=CC=C1)NC1=CC=CC=C1
156	102-09-0	Diphenylcarbonate	C13H10O3	diphenyl carbonate	InChI=1S/C13H10O3/c14-13(15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H	ROORDVPLFPIABK-UHFFFAOYSA-N	O=C(OC1=CC=CC=C1)OC1=CC=CC=C1
