100-02-7	SULT1A1; AMY2B
60-54-8	rpsG; rpsN; rpsC; rpsH; rpsS; PRNP; mdfA; PADI4
60-56-0	TPO
60-79-7	ADRA1A
60-80-0	PTGS2; PTGS1
60-82-2	ttgR
60-87-7	HRH1; DRD2; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; CALM1; HRH2; LPAR4; LPAR6; P2RX1; P2RX2; P2RX3; P2RX4; P2RX5; P2RX6; P2RX7; P2RY1; P2RY11; P2RY12; P2RY13; P2RY14; P2RY2; P2RY4; P2RY8; P2RY10; SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; KCNA1; KCNA10; KCNA2; KCNA3; KCNA4; KCNA5; KCNA6; KCNB1; KCNB2; KCNC1; KCNC2; KCNC3; KCNC4; KCND1; KCND2; KCND3; KCNE1; KCNE2; KCNE3; KCNE4; KCNE5; KCNF1; KCNG1; KCNG2; KCNG3; KCNG4; KCNH1; KCNH2; KCNH3; KCNH4; KCNH5; KCNH6; KCNH7; KCNH8; KCNQ1; KCNQ2; KCNQ3; KCNQ4; KCNQ5; KCNS1; KCNS3; KCNV1; KCNV2; KCNAB1; KCNAB2
60-92-4	HCN2; PRKAR1A; PRKAR2B; cyaB2; ; crp
60-99-1	DRD2; DRD1; DRD5; DRD3; DRD4; HTR2A; HTR2C; HRH1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
600-18-0	; acdS
60142-96-3	CACNA2D1; CACNA2D2; CACNA1B; CACNA1B; ADORA1; KCNQ3; KCNQ5
602-41-5	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GLRA1; TNFSF11
6027-13-0	metE; ; luxS
60282-87-3	PGR
603139-19-1	CTSK
604-33-1	LIP3
604-59-1	CYP1A2
604-75-1	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRG1; GABRG2; GABRG3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRQ; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
6051-87-2	ESR1; ESRRA; NR2F1; AHR; CYP1B1
60569-19-9	CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; CACNA1C; ADRA1A
606-43-9	
606143-52-6	MAP2K1; MAP2K2
606143-89-9	IL6; TNF; IL1B; MAP3K1; MAP2K2
60628-96-8	ERG11; CYP2B6
607-71-6	celH
60719-84-8	PDE3A; PDE4B; TNF; PDE3B
60762-57-4	MAOA; HTR1A; ADRA2A
608137-32-2	TAAR1
60925-61-3	pbpA
60940-34-3	EPHX2
609799-22-6	MTNR1A; MTNR1B
61-00-7	DRD2; DRD1; HTR2A; HTR1A; ADRA1A; ADRA1B
61-19-8	CREB1; PIM1; PDE4B; PYGL; PRKAB1; HINT1; PDE4D; ACSS1; ACSS2; PRKAA1; PRKAB2; ADCY1; ACSL1; FBP1; ADK
61-32-5	mecA; pbp2a; pbp1b; penA; pbp3; pbpA
61-33-6	pbp3; SLC22A8; SLC15A1; SLC15A2
61-50-7	HTR6; HTR2A; SIGMAR1
61-54-1	aauA; aauB
61-56-3	CA2
61-68-7	PTGS2; PTGS1
61-72-3	pbpA; ampC; pbp2a; penA; pbpB; dacA
61-73-4	GUCY1A2; NOS1
61-90-5	LARS2; BCAT2; BCAT1; LCMT2; LCMT1; LARS
610798-31-7	EGFR
611-71-2	mdlC; mdlA
611-73-4	HAO1
611-99-4	ERG11
61270-58-4	mrcA; ftsI; mrcB; dacB; mrdA
61379-65-5	rpoC
614-60-8	
614-97-1	cobT
61413-54-5	PDE4D; PDE4B
61563-24-4	PNMT
616-43-3	E
616-47-7	MB; fixL
616-91-1	GSS; SLC7A11; ACY1; IKBKB; CHUK; GRIN2B; GRIN1; GRIN2A; GRIN2D; GRIN3A
616202-92-7	HTR2C
61622-34-2	pbpA
617-35-6	TNF; HMGB1
618-39-3	KLK6; PRSS2; PRSS3; ATOX1; ECI1; sprT; ST14; PLAU; PRSS1; CSNK2A1; KLK1
618385-01-6	F2R
61869-08-7	SLC6A4; SLC6A2; HTR2A; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; DRD2; HRH1; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR2A; HTR2B; HTR2C; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; HTR6; HTR7; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; HTR2B; DRD1; DRD5
618903-56-3	AR
619-84-1	rep; orf1ab
61951-99-3	NR3C1; HDAC2
62-44-2	PTGS1
62-49-7	PCYT1B; ACHE; PCYT1A; PLD2; BCHE; PLD1; PHOSPHO1; CHRNA7
62-53-3	KLK1; ALB
62-57-7	CRH; NPY
62-90-8	AR
6217-54-5	PPARA; PPARG; RXRA; RXRB; RXRG; SREBF1
624-49-7	KEAP1; RELA
624-78-2	MB
625115-55-1	GUCY1A2
62571-86-2	ACE; MMP2; MMP9; LTA4H; BDKRB1
62658-63-3	ADRB1; ADRB2; HTR1A; HTR1B; ADRB3
62666-20-0	GABBR1; GABRA1
627530-84-1	AR
628-62-6	limA
62893-19-0	ftsI; mrcB; mrdA; mrcA; ponB; dacC; mrcA; dacA; dacB
629-11-8	; HRAS; NR3C1; E; ruvB; PLA2G1B
629-80-1	RHO; DBI
62989-33-7	PAH; NOS3; TH; TPH1
63-05-8	HSD17B1; HSD3B1; eryF; AKR1C3
63-12-7	HRH1; CHRM4; CHRM1; CHRM5; CHRM2; CHRM3
63-37-6	ispDF; CMPK1; ispF; cmk; UCK2; kpsU; ispF; cst-II; coaBC
63-39-8	UCK2; ; 
63-42-3	GLT6D1; GLTP; entB; nedA; ; xlnA; lacZ; tetX; LGALS3
63-68-3	MTRR; MTR; METAP2; BHMT; BHMT2
63-74-1	folP
63-75-2	CHRM1; CHRM3
63-91-2	TAT; SLC7A8; FARSA; PAH; FARS2; FARSB; TH
63-98-9	SCN1A
630-08-0	MB
630-56-8	PGR
630-60-4	ATP1A1; ATP1A2; ATP1A3
63250-36-2	ACE; blaFEZ-1; blaB1; ; cphA; 
634-03-7	ADRA1A; SLC6A2; ADRA1B
6343-54-0	ADH1B
63446-55-9	OTC
63527-52-6	pbp1b; pbp2a; pbpC; pbpA; penA; SLC22A6; SLC22A8; SLC22A11; SLC22A7; SLC15A1; ALB; ; SLC15A2
63590-64-7	ADRA1A; ADRA1B; ADRA1D; KCNH2; KCNH6; KCNH7; TGFB1
636-58-8	GSS
636-61-3	kaiB; fumC; glcB; ME2; CS; synC
63612-50-0	AR
63659-18-7	ADRB1; ADRB2
63675-72-9	CACNA1C; CACNA2D1; CACNB2; CACNA1D; CACNA1S
63676-22-2	ESR1; NCOA2
637-07-0	PPARA
638-18-6	HMGCL
638-23-3	GSTP1
638-53-9	PLA2G2A; PLA2G1B; PLA2G2E
638-94-8	NR3C1
639489-84-2	CHRNA7
64-04-0	tynA; PRSS2; PRSS1
64-13-1	SLC6A3; SLC6A4; SLC18A2; ADRA1A; ADRA2A; MAOA; MAOB
64-17-5	GABRA1; GRIN3A; GLRA1; GLRA2; CACNB1; HTR3A; GABRA2; CHRNA10; CACNA1C; GABRA5; GABRA4; GABRA3; GRIA1; CACNG1; CHRNA2; GABRA6; GRIA2; GRIA4; GRIA3; CHRNA4; CHRNB2; KCNJ3; KCNJ6; VCAM1; SLC29A1; KCNJ5; CHRNA7; CHRNA9; GABRB1; GABRB3; GABRB2; CACNA1S; CACNA1D; CHRNB4; CHRNA3; CHRNA5; CHRNA6; CHRNB3; GABRG1; GABRG3; GABRE; GABRP; GABRQ; GABRD; SLC29A2; HTR3E; HTR3B; HTR3D; HTR3C; CACNG2; KCNJ9; L1CAM
64-18-6	HMOX1; RNASE1; pyrD; dhlB; bla; katA; ffh; ; mgsA; CTBP1; pgl; citE; CASK; gmk; buk2; GGACT; PVALB; ACYP2; ; astA; yvyI; NOS1; ; ycdX; phzD1; oxdC; actIII; GPHN; ; CYTH2; gcdA; ; katA; ; GST; HGPRTase; glsA1; glsA1; moaE; ; fbpA; gyrB; ygbM; hemB; aroA; apr; FGF1; def; pabB; CA2
64-77-7	ABCC8; KCNJ1
64046-79-3	TPR
641571-10-0	ABL1; KIT
64211-45-6	ERG11; ERG7; NR1I2
64221-86-9	mrdA; mrcB; mrcA; pbpC; pbp4
64228-81-5	CHRNA2
64318-79-2	PTGER2; PTGER3
644-26-8	SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A
644-62-2	PTGS1; PTGS2; ALOX5; KCNQ2; KCNQ3
645-03-4	lacZ
645-88-5	AGXT
6452-71-7	ADRB1; ADRB2; ADRB3
646-07-1	ilvE
64706-54-3	CACNA1A; CACNA1H; CACNA2D2; ATP1A1; KCNQ1; TNNC1; CALM1; PDE1B; PDE1A; KCNH2
648917-13-9	PYGL
64913-51-5	ulaD
6493-05-6	PDE4B; ADORA1; PDE5A; PDE4A; ADORA2A; NT5E
64952-97-2	pbpC; mrcA; mrcB; dacB
65-06-5	AR
65-23-6	PDXK
65-29-2	CHRM2; ACHE; CHRNA2; CHRM1; CHRM5
65-46-3	UCK2
65-47-4	cca; rfbF; ispD; tagD; ispD; kpsU; UCK2; coaBC
65-49-6	PTGS2; CHUK; ALOX5; PLA2G2E; folK
65-71-4	phr; deoA
65-82-7	Aaar; RHO
65-85-0	oxyR; malT; pptA; DAO; HRSP12; clcA; RAB9A; cumD; cpo; nfsB; chqB; repA; PRDX5; eltB; cocE; SLC15A1
65-86-1	pyrDA; pyrE; DHODH; pyrD; pyrC
65085-01-0	pbpA; ftsI
65141-46-0	ABCC9
65271-80-9	TOP2A
6556-11-2	HCAR3; HCAR2
65576-45-6	HTR1A; HTR1B; HTR2A; HTR2B; HTR2C; HTR5A; HTR6; HTR7; DRD2; DRD3; DRD4; DRD1; ADRA1A; ADRA2A; ADRA2B; ADRA2C; HRH1; HRH2; ADRB1; ADRB2
656820-32-5	AURKB; INCENP
657-24-9	PRKAB1; ETFDH; GPD1
65807-02-5	LHCGR; GNRHR
65847-85-0	ALOX5; PTGS2; LTB4R; TBXA2R
65899-73-2	ERG11; CYP51A1
65928-58-7	PGR; AR
65996-58-9	HPRT1
66-22-8	rsuA; ; ung; DPYD; UCKL1; udg; pdp
66-40-0	kcsA; CHRNA9; Kcnma1; KCNA1
66-71-7	tar; 
66-72-8	PDXK
66-76-2	VKORC1; NQO1; CRYZ
66-79-5	pbp3; pbp2a; pbpA; penA; pbp1b; pbpA; SLC15A1; mecA; SLC15A2
66085-59-4	CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; NR3C2; AHR
661-19-8	; 
66104-22-1	DRD2; DRD3; DRD4; HTR1A; HTR2B; HTR2A; HTR1D; ADRA2A; ADRA2B; ADRA2C; DRD5; DRD1; HTR1B; HTR2C; ADRA1A; ADRA1B; ADRA1D
66142-81-2	HTR2C; HTR2A
6621-47-2	CPT1A; CPT2; KCNH2
66357-35-5	HRH2; ACHE
66376-36-1	FDPS; PTPN4; PTPRS; PTPRE; ATP6V1A
6640-24-0	HTR2C
66441-23-4	NOS2
66508-53-0	dxr
66532-85-2	PTGS1; PTGS2; TRPV1; CNR1
66575-29-9	ADCY2; GNAS; ADCY5; CFTR
66640-93-5	ODC1
66711-21-5	ADRA2A; ADRA1A; ADRA2B
66722-44-9	ADRB1; ADRB2
6673-35-4	ADRB1
66898-62-2	PTGS1; PTGS2; CLCNKA
67-07-2	GAMT; SLC6A8; CKM; CKMT1A; CKMT2; CKB
67-20-9	ydbK; nfsA; rpsJ
67-63-0	RNGTT; azoR; nusG; ADI1; GCH1; GDF5; apr; ; RNASE1; pelA; PRSS2; gag; mop; PLA2G2A; GM2A; nprS; sdbA; CHIT1; ; DCXR; PRDX6; ; TNF; ACP5; AHCY; DDX39B; mutL; gag-pro-pol; R; gudD
67-73-2	NR3C1; ANXA1; ANXA2; ANXA3; ANXA4; ANXA5
67-96-9	VDR
67-97-0	VDR
6707-58-0	acrB; qacR; XIAP; CNGA1; KCNMA1
671-16-9	MAOA; MAOB
672-87-7	TH
67227-56-9	DRD5; DRD1; ADRA2B; ADRA2C; ADRA2A; ADRA1B; ADRA1D; ADRA1A
673-06-3	CCBL1; CRH
673-49-4	QPCT
67346-49-0	ADRB2
6735-59-7	ACHE; BCHE
6736-58-9	
67392-87-4	PGR; NR3C2; AR; NR3C1
674-38-4	CHRM2; CHRM1; CHRM3; CHRM4
6740-88-1	GRIN3A; TACR1; DRD2; OPRD1; SLC6A2; OPRK1; OPRM1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; HTR2A; HTR2B; HTR2C; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR3A; CHRNA7; BCHE; NOS1
67469-69-6	SLC6A3
675126-05-3	SLC6A3; SLC6A4; SLC6A2
67915-31-5	ERG11
68-12-2	CELA1; REN
68-19-9	MTR; MUT; MTRR; MMAA; MMACHC; MTHFR
68-22-4	PGR; AR; NR3C1
68-26-8	RDH12; DHRS3; ALDH1A3; RETSAT; RDH11; DHRS4; RDH14; RDH8; LRAT; RDH5; RDH13; ALDH1A2; ALDH1A1; APOD; PTGDS
68-35-9	
68-41-7	ddlA; alr
68-88-2	HRH1; KCNH2
68-94-0	PNP
68291-97-4	SCN1A; SCN2A; SCN3A; SCN4A; SCN5A; SCN9A; SCN11A; SCN1B; SCN2B; SCN3B; SCN4B; CACNA1G; CACNA1H; CACNA1I; CA1; CA2; CA3; CA4; CA5A; CA5B; CA6; CA7; CA8; CA9; CA10; CA11; CA12; CA13; CA14; MAOB; MAOA
683-10-3	appA
68302-57-8	S100A12; S100A13; IL3; FGF1
68367-52-2	AKR1B1
68373-14-8	blaZ
68377-92-4	ADRB1; ADRB2; ADRA1A; ADRA1B; ADRA1D
68399-58-6	CHRNA2; CHRM2; CHRM3
68401-81-0	mrcA; mrcB; dacC
68475-42-3	PDE3A
68538-85-2	glyA; folA
6863-06-5	folP; folK
686344-29-6	CNR1
68643-23-2	HNMT
68693-11-8	SLC6A3; ADRA1B
68767-14-6	PTGS2; PTGS1
68786-66-3	; ; Cat-1; ; ; ENO; ; ND3
68844-77-9	HRH1; KCNH2; KCNH1; MAPT
689-13-4	purA; ADSSL1; Adss
6892-68-8	prfA; ribH; TK1
6893-02-3	THRA; THRB; PCNA
6893-26-1	nprS
6899-10-1	mmaA2; cmaA1
69-23-8	DRD2; DRD1; CALM1; AR; HTR2A; HTR2C
69-53-4	pbp2a; pbp1b; pbp3; pbpA; penA; SLC15A1; SLC15A2; TEK
69-72-7	PTGS1; PTGS2; AKR1C1
69-79-4	; AMY2B; aglA; malE; treZ; malE; spoII; amyM; malP
69-89-6	xapA; gpt
69-93-2	PYGL
69049-73-6	CYSLTR1; CYSLTR2; FPR1; PTGDR; HSP90AA1
691852-58-1	; 
69304-47-8	TK
69308-37-8	GABBR1; GABBR2
69408-81-7	TOP2A; TOP2B
696-07-1	DPYD
69655-05-6	pol; PNP
69712-56-7	pbp3
69756-53-2	KCNH2; 
698387-09-6	EGFR
6990-06-3	fusA; cat; cat3
69975-86-6	PDE2A; ADORA2A; ADRB2
70-00-8	TYMS
70-16-6	TPK1
70-18-8	MGST3; HPGDS; TXNDC12; GSTA1; GSTA2; MGST1; ESD; GGT1; GSTM2; GLRX; GPX4; GSTM5; GPX6; HAGH; GPX1; GPX8; GPX7; MGST2; GSTO2; GLRX2; GLO1; LTC4S; GSR; GSS; GSTM1; GSTK1; GSTA3; GSTM3; GSTA4; GSTM4; GSTA5; GSTP1; GSTO1; GPX1; GPX2; GSTT1; GSTZ1; GPX5; GPX3; AKR1B1; MMP9; CYP3A4
70-26-8	OAT; OTC; ARG1; OAZ1; SLC7A2; SLC25A2; SLC7A4; SLC7A1; ARG2; SLC25A15; SLC7A3; OAZ2; GATM; OAZ3
70-30-4	dld; SDHD; GLUD1; ESR1
70-47-3	SLC1A5; ASRGL1; NARS2; SLC38A3; ASNS; NARS
70-51-9	APP
70-78-0	tyrS
700-58-3	camC
70052-12-9	ODC1
701-64-4	SRC
701-97-3	tyrB
7020-55-5	CHRM1
70288-86-7	GLRA3; GABRB3
70374-39-9	PTGS1; PTGS2
70458-92-3	parC; gyrA; TOP2A; topA
70458-96-7	parC; gyrA; TOP2A
7047-84-9	TNNC1; VDAC1; VDAC2; VDAC3
7060-82-4	ACHE; 
706779-91-1	HTR2A; DRD2
7075-11-8	cmk
70797-11-4	ftsI; mrcB; mrcA; ponB; dacC; mrcA; mecA
709-50-2	cel5A; celCCF; celA1
71-00-1	HDC; HARS; SLC38A3; HAL
71-23-8	LYZ
71-36-3	linB
71-44-3	SMS; SMOX; ODC1; CASR; ADRB1; ADRB2
71-58-9	PGR; ESR1; ABCB1; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
71-63-6	ATP1A1
71125-38-7	PTGS2; PTGS1
71160-24-2	LTB4R; LTB4R2; PPARA
71195-58-9	OPRM1
712-29-8	folK
71320-77-9	MAOA; MAOA; MAOB; MAOB
7143-09-1	IGHG2; IGKC
71441-28-6	RARB
71486-22-1	TUBB
71620-89-8	SLC6A2
71675-85-9	DRD2; DRD3; HTR7; HTR2A
718599-64-5	rpiB
7187-66-8	CHRNA10
72-14-0	
72-18-4	PCCB; BCAT1; VARS
72-19-5	THNSL1; TARS; TARS2
72-33-3	ESR1
72-69-5	SLC6A2; SLC6A4; HTR2A; HTR1A; HRH1; ADRA1A; ADRA1D; HTR2C; ADRA1B; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; DRD2; PGRMC1; SIGMAR1; Htr2c; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
721-50-6	SCN5A
723-46-6	folP
72332-33-3	ADRB2
72432-03-2	MGAM; GAA; GANAB; GANC
72432-10-1	HTR2A; DRD2; GRIA2; GRIA3
72509-76-3	CACNA1C; CACNA2D1; CACNB2; CACNA1D; CACNA1S; CACNA1H; CACNA2D2; CALM1; PDE1B; PDE1A; NR3C2; TNNC2; TNNC1
72558-82-8	ftsI; pbp3; mrcA; pbpA; mrcB; ponB; pbpA; mrdA; pbpG
72559-06-9	rpoA; rpoB; rpoC; HSP90AA1; HSP90B1
72599-27-0	UGCG
7261-97-4	RYR1
726169-73-9	HDAC1; HDAC3; HDAC2
727-81-1	pufC; puhA; pufL; pufM; SDHA; SDHB; SDHD; SDHC; dsbA; dsbB; nrfC; ; 
72732-56-0	DHFR
72741-87-8	MAN2A1
727649-81-2	CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
728033-96-3	KIT; FLT1
72822-12-9	ADRA1A; ADRA1D; ADRA1B
729-99-7	
72909-34-3	qheDH; gdhB; qbdA; pqqC; exaA
7292-42-4	folK; panC; nadE; NMNAT3; cyaC; 4; lipJ; carA
72956-09-3	ADRB1; ADRA1A; NDUFC2; ADRB2; VEGFA; NPPB; GJA1; KCNH2; VCAM1; ADRA1D; ADRA1B; ADRA2C; ADRA2B; ADRA2A; SELE; HIF1A; KCNJ4; KCNJ2
7297-25-8	NPR1; NPR2
73-22-3	WARS2; trpS; WARS
73-24-5	APRT; mtnN; ACACB; ACP1; PECR; mutY; ptd; SRPK2; ruvB; MTAP; cobT
73-31-4	MTNR1A; MTNR1B; ESR1; RORB; CALM1; MPO; EPX; CALR; ASMT; NQO2
73-32-5	IARS2; ACADSB; BCAT1; BCAT2; IARS
73-40-5	; PNP; xapA; gpt; GCH1
73-48-3	SLC12A3; KCNMA1; CA1; CA2; CA4
73-49-4	CA1; CA2; SLC12A1; SLC12A2; SLC12A3
73-67-6	tenA; thiD
73367-80-3	PAEP
73384-59-5	penA; SLC22A11; SLC22A6; SLC22A8; SLC15A1
73537-09-4	CTH; sufS
73537-92-5	LYZ; cheY
73573-88-3	HMGCR
73590-58-6	ATP4A; AHR
7365-44-8	C1S
73771-04-7	NR3C1
738-70-5	folA
73836-78-9	CYSLTR1; CYSLTR2
739-71-9	SLC6A4; SLC6A2; SLC6A3; HTR2A; HTR1A; ADRA1A; ADRA1B; DRD2; ADRA2B; HRH1; HTR2C; HTR3A; HTR1D; ADRA2A; DRD1; DRD5; ADRB1; ADRB2; ADRB3; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; Htr2c
73951-54-9	dmg; glyA; gcvT; arnA; FTCD
73963-72-1	PDE3A
74-11-3	
74-55-5	embC; embB; embA
74-79-3	NOS3; SLC7A3; AZIN2; ASL; NOS2; SLC7A1; ARG2; SLC7A4; ASS1
74-89-5	amtB
74011-58-8	gyrA; parC; TOP2A
74050-98-9	HTR2A
74103-06-3	PTGS2; PTGS1
7416-34-4	DRD2; HTR1A; HTR2A; CHRM1
741713-40-6	CDK2
7418-61-3	prr
74191-85-8	ADRA1A; ADRA1D; KCNH2; KCNH6; KCNH7; ADRA1B
7423-96-3	SOD2
7429-90-5	TF; ATP1A1; KLK1; APP
74389-68-7	GM2A; PTAFR
7439-89-6	TFRC; EGLN1; HDAC8; AHSP; HBA1; FXN; FTH1; FEN1; NEIL1; NEIL2; POLB; CP; TF
7440-09-7	ATP1A1
7440-22-4	MTF1; MT1HL1; MT1A; MT1B; MT1E; MT1F; MT1G; MT1H; MT1L; MT1M; MT1X; MT2A; MT3; MT4; MT1DP; TESMIN; CP; ALB; A2M
7440-50-8	APP; AHCY; HIST1H2BC; GAPDH; NME1; HIST1H1E; PRDX1; S100A8; RPSA; ACTG1; ENO1; EEF1A1; KRT8; P4HB; PDIA3; HSPD1; HSPA13; HSPA5; HSP90B1; TF; Lyar; RPS2; SRSF1; HNRNPA2B1; HNRNPH1; HNRNPH3; cbiD; HNRNPL; SFPQ; SF3A2; RACK1; ACTN1; ACY1; ANXA4; ANXA5; CALR; PKM; AKR1A1; CYB5R3; GSR; TKT; PRDX2; PRDX6; PPIA; HSPA8; HSP90AA1; PTGES3; STIP1; EEF1A1L14; EIF6; EIF4A1; GPI; LDHA; PGK1; TUBA3C; TUBB; CFL1; YWHAB; GOT1; GSS; HDGF; IDH3A; CLIC1; PSME1; PEBP1; PGAM1; RANBP1; UGDH; B2M; SCO1; PRNP; GLRA1; HTT; NEIL1; NEIL2; HEPHL1; SERPINE1; S100A2; S100A4; SNCA; BDNF; PARK7; IAPP; TAC3; A1BG; AFM; AGT; AHSG; APCS; APOA1; APOA2; APOA4; APOBR; APOC2; APOC3; APOD; APOE; APOH; AZGP1; C1QC; C1S; C3; C4B; C4BPA; C5; C8B; C9; CFH; CFI; CLEC3B; CLU; F2; C1QBP; GSN; HBA1; HBB; CBX5; HPR; IGFALS; IGHG1; IGHG4; ; IGLL1; ITIH2; KNG1; KRT1; KRT10; KRT2; KRT9; LRG1; LUM; PGLYRP2; PLG; PON1; PPBP; SERPINA1; SERPINA4; SERPINA6; SERPINA7; SERPINC1; SERPIND1; SERPINF1; SERPINF2; SERPING1; TTR; VTN; APLP1
7440-66-6	BDKRB1; MGMT; ALDOA; EEF1A1; ENO1; GAPDHS; NME1; P4HB; PDIA3; PRDX1; PSPH; TPI1; TUFM; ESR1; IL3; MT2A; CCS; HDAC1; HDAC4; MPG; SEMG1; SOD1; HDAC8; SIVA1; GLRA1; MDM2; INS; UTRN; ASPA; S100A8; S100A9; MMP9; TP73; S100A2; TP53; MT3; PDCD6; DAND5; MT1A; A1BG; A2M; AGT; AHSG; APCS; APOA1; APOA2; APOA4; APOBR; APOE; APOL1; C1QB; C1QC; C1R; C1S; C3; C4B; C4BPA; C4BPB; C5; BRCC3; C8A; C8B; C8G; CFB; CFH; CFI; CLU; CP; CPN1; CPN2; DCD; DSP; F12; F13B; F2; FCN3; FGA; FN1; GSN; HBA1; HBB; HPR; HRNR; IGFALS; IGHA1; IGHM; IGKV1-17; ; IGLV3-21; ITIH1; ITIH2; ITIH3; ITIH4; JCHAIN; JUP; KLKB1; KNG1; KRT1; KRT10; KRT14; KRT16; KRT2; KRT5; KRT6A; KRT9; ORM2; PGLYRP2; PON1; PZP; S100A7; SEPP1; SERPINA1; SERPINA3; SERPINA4; SERPINA6; SERPIND1; SHBG; TF; TTR; VTN; APLP1; APLP2; APP; PARP1
7440-70-2	CACNA1C; ATP2C1; TNNC2; TNNC1; SPTBN1; S100B; CAST; COMP; CALM1; AOC1; S100A13; ALPP; S100A8; S100A9; S100A2; CP; BMP4; MGP; PCDH19; PDCD6
7447-39-4	PROC; CSTB
7447-40-7	SLC12A2; SLC12A1; SLC12A5; SLC12A6; SLC12A7; SLC12A4
745-65-3	PTGER2; PTGER1; PTGDR2
74517-78-5	SCN5A
74578-38-4	DPYD; TYMS
74772-77-3	PPARG
7481-89-2	pol
74863-84-6	F2
7487-88-9	CACNG1; CACNA2D1; CACNA1C; CACNB1; CACNB2; CACNA1S
7492-32-2	CHRM3; CHRM4
75-60-5	gag-pol; NOS3; AKR1B1; GNAT1
75-65-0	RNASE1; TPI1; METAP2; bphC; CALM1
75-89-8	; ADH1C; HRAS
751-97-3	rpsI
7512-17-6	B4GALT3; B4GALT4; B4GALT2; NAGK; NAGPA; NAGLU; RENBP; B4GALT1
75176-37-3	LAP3
75225-51-3	mvaA
75330-75-5	HMGCR; ITGAL; HDAC2
753449-67-1	CASR; ADGRF1
7542-37-2	rpsJ
75438-57-2	ADRA2A; NISCH
755037-03-7	FLT1; KDR; FLT4; KIT; PDGFRA; PDGFRB; FGFR1; FGFR2; TEK; DDR2; NTRK1; EPHA2; RAF1; BRAF; MAPK11; FRK; ABL1; RET
7553-56-2	SLC5A5
75530-68-6	CACNA1C; CACNA2D1; CACNB2; CACNA1D; CACNA1S; CACNA2D3
7554-65-6	ADH1A; ADH1B; ADH1C; CAT
75558-90-6	HTR2A
75645-22-6	EEF2
75695-93-1	CACNA1C; CACNA2D1; CACNB2; CACNA1H; CACNA2D2; CACNA1D; CACNA1S
75706-12-6	DHODH; AHR; PTK2B
75747-14-7	HSP90AA1; HSP90AB1
75847-73-3	ACE
7585-39-9	tvaII; malE; 
759-05-7	panB; cefE; leuA; BCAT2
75921-69-6	MC1R
76-38-0	GABRA1; GRIA1; GLRA1; ATP2C1; KCNA1; ATP5D; MT-ND1; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
76-41-5	OPRM1; OPRD1
76-42-6	OPRM1; OPRK1; OPRD1
76-43-7	AR; ESR1; PRLR; NR3C1; HSD11B2
76-47-1	NR3C1
76-57-3	OPRM1; OPRK1; OPRD1
76-58-4	OPRM1
76-73-3	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B
